"","PK_RANDOM_SAMPLE_LOCATION","FK_EPA_RANDOM_ID","NEST1_WT","EPA_OVERSAMPLE","EPA_DIVISION","STRATUM","MULTIDENSITY_CATEGORY","WELL_DENSITY","WELL_WEIGHT","AQUIFER_WEIGHT","RESOURCE_TYPE","REPORTING_UNIT","RANDOM_LATITUDE","RANDOM_LONGITUDE","HYDROLOGIC_UNIT_CODE","HYDROLOGIC_UNIT_NAME","CAN_BE_SAMPLED","EXCLUSION_CATEGORY","EXCLUSION_CRITERIA","SAMPLED_DATE","HECTARES","ANALYSIS_SUITE","LOCATIONAL_DATUM","FK_PROJECT","FK_STATION","SAMPLE_LATITUDE","SAMPLE_LONGITUDE","FK_WELL_LISTFRAME_ID","NUTRIENT_WATERSHED_REGION","SCI_DO_BIOREGION_2012"
"11","Z1-CA-12011","FLGW18001-0011",NA,NA,NA,"ZONE 1 - CONFINED",0.002350440387,5.1958e-11,425.452185629109,NA,"CONFINED AQUIFER","ZONE 1",304157.578,853508.12,3140203,"LOWER CHOCTAWHATCHEE","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM PROPERTY/WELL OWNER",NA,NA,NA,"WGS84","Z1CA1802",NA,NA,NA,31820,NA,NA
"12","Z1-CA-12012","FLGW18001-0012",NA,NA,NA,"ZONE 1 - CONFINED",0.00294324747,3.697e-11,339.760760906181,NA,"CONFINED AQUIFER","ZONE 1",304840.415,862011.955,3140103,"YELLOW","Y",NA,NA,2018-02-27,NA,NA,"NAD83","Z1CA1802",52798,304841.538,862011.13,32799,NA,NA
"13","Z1-CA-12013","FLGW18001-0013",NA,NA,NA,"ZONE 1 - CONFINED",0.001672368285,7.3025e-11,597.954415375471,NA,"CONFINED AQUIFER","ZONE 1",303157,842130,3120003,"LOWER OCHLOCKONEE","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM PROPERTY/WELL OWNER",NA,NA,NA,"NAD27","Z1CA1802",5038,303157,842130,3099,NA,NA
"14","Z1-CA-12014","FLGW18001-0014",NA,NA,NA,"ZONE 1 - CONFINED",0.002646868787,4.6139e-11,377.804901032127,NA,"CONFINED AQUIFER","ZONE 1",304924.23,854751.52,3140203,"LOWER CHOCTAWHATCHEE","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM PROPERTY/WELL OWNER",NA,NA,NA,"WGS84","Z1CA1802",NA,NA,NA,30014,NA,NA
"15","Z1-CA-12015","FLGW18001-0015",NA,NA,NA,"ZONE 1 - CONFINED",0.00294324747,2.4412e-11,339.760760906181,NA,"CONFINED AQUIFER","ZONE 1",301336.56,851028.74,3130012,"CHIPOLA","Y",NA,NA,2018-02-28,NA,NA,"NAD83","Z1CA1802",52799,301336.587,854028.641,11379,NA,NA
"16","Z1-CA-12016","FLGW18001-0016",NA,NA,NA,"ZONE 1 - CONFINED",0.002487231228,4.9101e-11,402.053491693264,NA,"CONFINED AQUIFER","ZONE 1",303348.21,835337.6,3120001,"APALACHEE BAY-ST. MARKS","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM PROPERTY/WELL OWNER",NA,NA,NA,"WGS84","Z1CA1802",NA,NA,NA,35578,NA,NA
"17","Z1-CA-12017","FLGW18001-0017",NA,NA,NA,"ZONE 1 - CONFINED",0.00294324747,5.609e-12,339.760760906181,NA,"CONFINED AQUIFER","ZONE 1",305930,864245.3,3140104,"BLACKWATER","N","NO PERMISSION FROM OWNER","ACCESS DENIED BY PROPERTY/WELL OWNER",NA,NA,NA,"WGS84","Z1CA1802",NA,NA,NA,12374,NA,NA
"18","Z1-CA-12018","FLGW18001-0018",NA,NA,NA,"ZONE 1 - CONFINED",0.00294324747,2.4095e-11,339.760760906181,NA,"CONFINED AQUIFER","ZONE 1",303118,844155,3120003,"LOWER OCHLOCKONEE","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM PROPERTY/WELL OWNER",NA,NA,NA,"NAD27","Z1CA1802",4325,303118,844155,3083,NA,NA
"19","Z1-CA-12019","FLGW18001-0019",NA,NA,NA,"ZONE 1 - CONFINED",0.00294324747,1.3033e-11,339.760760906181,NA,"CONFINED AQUIFER","ZONE 1",302341.892,860523.328,3140203,"LOWER CHOCTAWHATCHEE","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM PROPERTY/WELL OWNER",NA,NA,NA,"WGS84","Z1CA1802",NA,NA,NA,9859,NA,NA
"20","Z1-CA-12020","FLGW18001-0020",NA,NA,NA,"ZONE 1 - CONFINED",0.00294324747,2.0193e-11,339.760760906181,NA,"CONFINED AQUIFER","ZONE 1",300234.68,851020.29,3130012,"CHIPOLA","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM PROPERTY/WELL OWNER",NA,NA,NA,"WGS84","Z1CA1802",NA,NA,NA,17868,NA,NA
"21","Z1-CA-12021","FLGW18001-0021",NA,NA,NA,"ZONE 1 - CONFINED",0.00294324747,2.7527e-11,339.760760906181,NA,"CONFINED AQUIFER","ZONE 1",300916,850511,3130011,"APALACHICOLA","N","OTHERWISE UNSAMPLEABLE","CAN NOT LOCATE WELL",NA,NA,NA,"NAD27","Z1CA1802",5056,300916,850511,2756,NA,NA
"22","Z1-CA-12022","FLGW18001-0022",NA,NA,NA,"ZONE 1 - CONFINED",0.001686506687,7.2413e-11,592.941615659958,NA,"CONFINED AQUIFER","ZONE 1",302453.78,843255.11,3120003,"LOWER OCHLOCKONEE","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM PROPERTY/WELL OWNER",NA,NA,NA,"WGS84","Z1CA1802",NA,NA,NA,34054,NA,NA
"23","Z1-CA-12023","FLGW18001-0023",NA,NA,NA,"ZONE 1 - CONFINED",0.001306591191,9.3468e-11,765.350330774191,NA,"CONFINED AQUIFER","ZONE 1",303523.43,852330.08,3140101,"ST. ANDREW-ST. JOSEPH BAYS","N","NO PERMISSION FROM OWNER","ACCESS DENIED BY PROPERTY/WELL OWNER",NA,NA,NA,"WGS84","Z1CA1802",NA,NA,NA,9165,NA,NA
"24","Z1-CA-12024","FLGW18001-0024",NA,NA,NA,"ZONE 1 - CONFINED",0.00294324747,8.423e-12,339.760760906181,NA,"CONFINED AQUIFER","ZONE 1",300318.63,842954.12,3120003,"LOWER OCHLOCKONEE","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM PROPERTY/WELL OWNER",NA,NA,NA,"WGS84","Z1CA1802",NA,NA,NA,32501,NA,NA
"25","Z1-CA-12025","FLGW18001-0025",NA,NA,NA,"ZONE 1 - CONFINED",0.002693835528,4.5335e-11,371.217912046022,NA,"CONFINED AQUIFER","ZONE 1",303335.963,843203.494,3120003,"LOWER OCHLOCKONEE","Y",NA,NA,2018-02-14,NA,NA,"NAD83","Z1CA1802",52800,303535.519,843203.258,5165,NA,NA
"26","Z1-CA-12026","FLGW18001-0026",NA,NA,NA,"ZONE 1 - CONFINED",0.002879927974,4.2405e-11,347.230906081104,NA,"CONFINED AQUIFER","ZONE 1",304029.02,855608.52,3140203,"LOWER CHOCTAWHATCHEE","N","NO PERMISSION FROM OWNER","ACCESS DENIED BY PROPERTY/WELL OWNER",NA,NA,NA,"WGS84","Z1CA1802",NA,NA,NA,9308,NA,NA
"27","Z1-CA-12027","FLGW18001-0027",NA,NA,NA,"ZONE 1 - CONFINED",0.001852662172,6.5918e-11,539.7638140725,NA,"CONFINED AQUIFER","ZONE 1",305354,853152,3140203,"LOWER CHOCTAWHATCHEE","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM PROPERTY/WELL OWNER",NA,NA,NA,"NAD27","Z1CA1802",4845,305354,853152,3463,NA,NA
"28","Z1-CA-12028","FLGW18001-0028",NA,NA,NA,"ZONE 1 - CONFINED",0.00294324747,7.736e-12,339.760760906181,NA,"CONFINED AQUIFER","ZONE 1",303100.6,863543.6,3140102,"CHOCTAWHATCHEE BAY","Y",NA,NA,2018-02-28,NA,NA,"WGS84","Z1CA1802",52801,303100.621,863542.979,16705,NA,NA
"29","Z1-CA-12029","FLGW18001-0029",NA,NA,NA,"ZONE 1 - CONFINED",0.001230609785,9.9239e-11,812.605272759363,NA,"CONFINED AQUIFER","ZONE 1",303730,850305,3130011,"APALACHICOLA","Y",NA,NA,2018-03-14,NA,NA,"NAD27","Z1CA1802",52802,303731.571,850309.684,8520,NA,NA
"30","Z1-CA-12030","FLGW18001-0030",NA,NA,NA,"ZONE 1 - CONFINED",0.002588092481,4.7187e-11,386.384956184054,NA,"CONFINED AQUIFER","ZONE 1",304740.5,860413.1,3140203,"LOWER CHOCTAWHATCHEE","Y",NA,NA,2018-02-26,NA,NA,"WGS84","Z1CA1802",52803,304747.867,860417.65,10363,NA,NA
"31","Z1-CA-12031","FLGW18001-0031",NA,NA,NA,"ZONE 1 - CONFINED",0.00280708709,4.3506e-11,356.241173830078,NA,"CONFINED AQUIFER","ZONE 1",300634,851155,3130012,"CHIPOLA","Y",NA,NA,2018-02-21,NA,NA,"NAD27","Z1CA1802",52804,300638.497,851154.503,14687,NA,NA
"32","Z1-CA-12032","FLGW18001-0032",NA,NA,NA,"ZONE 1 - CONFINED",0.001564665656,7.8051e-11,639.114175209259,NA,"CONFINED AQUIFER","ZONE 1",303442.75,840527.51,3120001,"APALACHEE BAY-ST. MARKS","N","WRONG RESOURCE/NOT PART OF TARGET POPULATION","WELL TAPS WRONG RESOURCE",NA,NA,NA,"NAD27","Z1CA1802",NA,NA,NA,17165,NA,NA
"33","Z1-CA-12033","FLGW18001-0033",NA,NA,NA,"ZONE 1 - CONFINED",0.00294324747,4.0914e-11,339.760760906181,NA,"CONFINED AQUIFER","ZONE 1",305656.9,855902.2,3140202,"PEA","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM PROPERTY/WELL OWNER",NA,NA,NA,"WGS84","Z1CA1802",NA,NA,NA,10778,NA,NA
"34","Z1-CA-12034","FLGW18001-0034",NA,NA,NA,"ZONE 1 - CONFINED",0.001494967047,8.169e-11,668.91106544366,NA,"CONFINED AQUIFER","ZONE 1",304156.68,845229.68,3130011,"APALACHICOLA","N","OTHERWISE UNSAMPLEABLE","SAMPLER CAN NOT RUN IN-PLACE PLUMBING",NA,NA,NA,"NAD83","Z1CA1802",NA,NA,NA,16293,NA,NA
"35","Z1-CA-12035","FLGW18001-0035",NA,NA,NA,"ZONE 1 - CONFINED",0.001242092265,9.8321e-11,805.09317066139,NA,"CONFINED AQUIFER","ZONE 1",304704,852021,3130012,"CHIPOLA","N","OTHERWISE UNSAMPLEABLE","CAN NOT LOCATE WELL",NA,NA,NA,"NAD27","Z1CA1802",NA,NA,NA,15251,NA,NA
"36","Z1-CA-12036","FLGW18001-0036",NA,NA,NA,"ZONE 1 - CONFINED",0.00294324747,3.1825e-11,339.760760906181,NA,"CONFINED AQUIFER","ZONE 1",295029.26,844126.33,3130014,"APALACHICOLA BAY","Y",NA,NA,2018-03-15,NA,NA,"WGS84","Z1CA1802",52805,295029.273,844126.259,19148,NA,NA
"37","Z1-CA-12037","FLGW18001-0037",NA,NA,NA,"ZONE 1 - CONFINED",0.001628880148,7.4974e-11,613.918710655308,NA,"CONFINED AQUIFER","ZONE 1",302610.47,850656.39,3130011,"APALACHICOLA","Y",NA,NA,2018-03-07,NA,NA,"NAD83","Z1CA1802",52806,302610.471,850656.338,8911,NA,NA
"38","Z1-CA-12038","FLGW18001-0038",NA,NA,NA,"ZONE 1 - CONFINED",0.002257841294,5.4089e-11,442.900926017535,NA,"CONFINED AQUIFER","ZONE 1",303855.7,854138.8,3140203,"LOWER CHOCTAWHATCHEE","N","OTHERWISE UNSAMPLEABLE","WELL NONFUNCTIONAL AS SAMPLING DEVICE",NA,NA,NA,"WGS84","Z1CA1802",NA,NA,NA,16888,NA,NA
"39","Z1-CA-12039","FLGW18001-0039",NA,NA,NA,"ZONE 1 - CONFINED",0.001704917782,7.1631e-11,586.538547791361,NA,"CONFINED AQUIFER","ZONE 1",303655.93,863326.723,3140203,"LOWER CHOCTAWHATCHEE","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM PROPERTY/WELL OWNER",NA,NA,NA,"NAD83","Z1CA1802",NA,NA,NA,21459,NA,NA
"40","Z1-CA-12040","FLGW18001-0040",NA,NA,NA,"ZONE 1 - CONFINED",0.00294324747,3.797e-11,339.760760906181,NA,"CONFINED AQUIFER","ZONE 1",304600.296,863637.977,3140103,"YELLOW","Y",NA,NA,2018-02-27,NA,NA,"WGS84","Z1CA1802",45083,304600.289,863637.99,11125,NA,NA
"41","Z1-CA-12041","FLGW18001-0041",NA,NA,NA,"ZONE 1 - CONFINED",0.001235537792,9.8843e-11,809.364154222446,NA,"CONFINED AQUIFER","ZONE 1",303325.322,841438.473,3120001,"APALACHEE BAY-ST. MARKS","Y",NA,NA,2018-02-22,NA,NA,"NAD83","Z1CA1802",20684,303325.265,841438.512,5285,NA,NA
"42","Z1-CA-12042","FLGW18001-0042",NA,NA,NA,"ZONE 1 - CONFINED",0.002523356472,4.8398e-11,396.297554841445,NA,"CONFINED AQUIFER","ZONE 1",305325.7,855405.1,3140203,"LOWER CHOCTAWHATCHEE","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM PROPERTY/WELL OWNER",NA,NA,NA,"WGS84","Z1CA1802",NA,NA,NA,10827,NA,NA
"43","Z1-CA-12043","FLGW18001-0043",NA,NA,NA,"ZONE 1 - CONFINED",0.00142790075,8.5527e-11,700.328787088251,NA,"CONFINED AQUIFER","ZONE 1",302120.54,853257.12,3140101,"ST. ANDREW-ST. JOSEPH BAYS","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM PROPERTY/WELL OWNER",NA,NA,NA,"WGS84","Z1CA1802",NA,NA,NA,16994,NA,NA
"44","Z1-CA-12044","FLGW18001-0044",NA,NA,NA,"ZONE 1 - CONFINED",0.00294324747,1.7434e-11,339.760760906181,NA,"CONFINED AQUIFER","ZONE 1",302104.778,861451.236,3140102,"CHOCTAWHATCHEE BAY","N","WRONG RESOURCE/NOT PART OF TARGET POPULATION","WELL TAPS WRONG RESOURCE",NA,NA,NA,"NAD83","Z1CA1802",NA,NA,NA,32998,NA,NA
"45","Z1-CA-12045","FLGW18001-0045",NA,NA,NA,"ZONE 1 - CONFINED",0.001313915916,9.2947e-11,761.08370987486,NA,"CONFINED AQUIFER","ZONE 1",303848,845606,3130011,"APALACHICOLA","N","OTHERWISE UNSAMPLEABLE","CAN NOT LOCATE WELL",NA,NA,NA,"NAD27","Z1CA1802",NA,NA,NA,7527,NA,NA
"46","Z1-CA-12046","FLGW18001-0046",NA,NA,NA,"ZONE 1 - CONFINED",0.002545076416,4.7985e-11,392.915510808629,NA,"CONFINED AQUIFER","ZONE 1",305109.874,855642.204,3140203,"LOWER CHOCTAWHATCHEE","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM PROPERTY/WELL OWNER",NA,NA,NA,"NAD83","Z1CA1802",NA,NA,NA,18047,NA,NA
"47","Z1-CA-12047","FLGW18001-0047",NA,NA,NA,"ZONE 1 - CONFINED",0.001039726098,1.17458e-10,961.791766005522,NA,"CONFINED AQUIFER","ZONE 1",301317,853625.37,3140101,"ST. ANDREW-ST. JOSEPH BAYS","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM PROPERTY/WELL OWNER",NA,NA,NA,"WGS84","Z1CA1802",NA,NA,NA,29238,NA,NA
"48","Z1-CA-12048","FLGW18001-0048",NA,NA,NA,"ZONE 1 - CONFINED",0.001128838445,1.08186e-10,885.866356308785,NA,"CONFINED AQUIFER","ZONE 1",303043.16,835824.79,3120001,"APALACHEE BAY-ST. MARKS","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM PROPERTY/WELL OWNER",NA,NA,NA,"NAD83","Z1CA1802",NA,NA,NA,3808,NA,NA
"49","Z1-CA-12049","FLGW18001-0049",NA,NA,NA,"ZONE 1 - CONFINED",0.002707715586,4.5102e-11,369.315006796661,NA,"CONFINED AQUIFER","ZONE 1",305741.7,855157.8,3140203,"LOWER CHOCTAWHATCHEE","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM PROPERTY/WELL OWNER",NA,NA,NA,"WGS84","Z1CA1802",NA,NA,NA,10638,NA,NA
"50","Z1-CA-12050","FLGW18001-0050",NA,NA,NA,"ZONE 1 - CONFINED",0.001674583602,7.2928e-11,597.163377746462,NA,"CONFINED AQUIFER","ZONE 1",302636.036,842309.48,3120001,"APALACHEE BAY-ST. MARKS","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM PROPERTY/WELL OWNER",NA,NA,NA,"NAD83","Z1CA1802",NA,NA,NA,5268,NA,NA
"51","Z1-CA-12051","FLGW18001-0051",NA,NA,NA,"ZONE 1 - CONFINED",0.000696089623,1.75443e-10,1436.59662154313,NA,"CONFINED AQUIFER","ZONE 1",304554,851126,3130012,"CHIPOLA","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM PROPERTY/WELL OWNER",NA,NA,NA,"NAD27","Z1CA1802",NA,NA,NA,15346,NA,NA
"52","Z1-CA-12052","FLGW18001-0052",NA,NA,NA,"ZONE 1 - CONFINED",0.00294324747,1.5847e-11,339.760760906181,NA,"CONFINED AQUIFER","ZONE 1",300033.518,850926.811,3130012,"CHIPOLA","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM PROPERTY/WELL OWNER",NA,NA,NA,"NAD83","Z1CA1802",43168,300033.518,850926.811,19958,NA,NA
"53","Z1-CA-12053","FLGW18001-0053",NA,NA,NA,"ZONE 1 - CONFINED",0.00294324747,2.4155e-11,339.760760906181,NA,"CONFINED AQUIFER","ZONE 1",301816.996,850902.232,3130012,"CHIPOLA","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM PROPERTY/WELL OWNER",NA,NA,NA,"NAD83","Z1CA1802",NA,NA,NA,10429,NA,NA
"54","Z1-CA-12054","FLGW18001-0054",NA,NA,NA,"ZONE 1 - CONFINED",0.002531988674,4.8233e-11,394.946474365515,NA,"CONFINED AQUIFER","ZONE 1",303456.36,854948.54,3140203,"LOWER CHOCTAWHATCHEE","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM PROPERTY/WELL OWNER",NA,NA,NA,"WGS84","Z1CA1802",NA,NA,NA,8878,NA,NA
"55","Z1-CA-12055","FLGW18001-0055",NA,NA,NA,"ZONE 1 - CONFINED",0.001755800052,6.9555e-11,569.540933105218,NA,"CONFINED AQUIFER","ZONE 1",303214.7,853519.1,3140101,"ST. ANDREW-ST. JOSEPH BAYS","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM PROPERTY/WELL OWNER",NA,NA,NA,"WGS84","Z1CA1802",NA,NA,NA,10300,NA,NA
"56","Z1-CA-12056","FLGW18001-0056",NA,NA,NA,"ZONE 1 - CONFINED",0.00294324747,2.8655e-11,339.760760906181,NA,"CONFINED AQUIFER","ZONE 1",304220.11,863308.157,3140103,"YELLOW","N","NO PERMISSION FROM OWNER","ACCESS DENIED BY PROPERTY/WELL OWNER",NA,NA,NA,"NAD83","Z1CA1802",NA,NA,NA,21005,NA,NA
"57","Z1-CA-12057","FLGW18001-0057",NA,NA,NA,"ZONE 1 - CONFINED",0.002042385125,5.9795e-11,489.623620851485,NA,"CONFINED AQUIFER","ZONE 1",303928.71,842404.27,3120003,"LOWER OCHLOCKONEE","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM PROPERTY/WELL OWNER",NA,NA,NA,"NAD83","Z1CA1802",NA,NA,NA,4066,NA,NA
"58","Z1-CA-12058","FLGW18001-0058",NA,NA,NA,"ZONE 1 - CONFINED",0.002862918289,4.2657e-11,349.293936780498,NA,"CONFINED AQUIFER","ZONE 1",304442.5,854254,3140203,"LOWER CHOCTAWHATCHEE","N","OTHERWISE UNSAMPLEABLE","CAN NOT LOCATE WELL",NA,NA,NA,"WGS84","Z1CA1802",NA,NA,NA,10977,NA,NA
"59","Z1-CA-12059","FLGW18001-0059",NA,NA,NA,"ZONE 1 - CONFINED",0.001730363846,7.0577e-11,577.91313786641,NA,"CONFINED AQUIFER","ZONE 1",302722.524,852520.604,3140101,"ST. ANDREW-ST. JOSEPH BAYS","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM PROPERTY/WELL OWNER",NA,NA,NA,"WGS84","Z1CA1802",NA,NA,NA,16781,NA,NA
"60","Z1-CA-12060","FLGW18001-0060",NA,NA,NA,"ZONE 1 - CONFINED",0.00294324747,1.4437e-11,339.760760906181,NA,"CONFINED AQUIFER","ZONE 1",302307.874,870643.259,3140105,"PENSACOLA BAY","N","WRONG RESOURCE/NOT PART OF TARGET POPULATION","WELL TAPS WRONG RESOURCE",NA,NA,NA,"NAD83","Z1CA1802",NA,NA,NA,33430,NA,NA
"61","Z1-CA-12061","FLGW18001-0061",NA,NA,NA,"ZONE 1 - CONFINED",0.000697415236,1.7511e-10,1433.8660083994,NA,"CONFINED AQUIFER","ZONE 1",304529.4,851012,3130012,"CHIPOLA","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM PROPERTY/WELL OWNER",NA,NA,NA,"NAD83","Z1CA1802",NA,NA,NA,10418,NA,NA
"62","Z1-CA-12062","FLGW18001-0062",NA,NA,NA,"ZONE 1 - CONFINED",0.001150281092,1.06169e-10,869.352723538402,NA,"CONFINED AQUIFER","ZONE 1",301218.87,854133.95,3140101,"ST. ANDREW-ST. JOSEPH BAYS","Y",NA,NA,2018-02-28,NA,NA,"WGS84","Z1CA1802",52809,301218.85,854134.081,36176,NA,NA
"63","Z1-CA-12063","FLGW18001-0063",NA,NA,NA,"ZONE 1 - CONFINED",0.001984318447,6.1545e-11,503.951370065359,NA,"CONFINED AQUIFER","ZONE 1",300905.724,853524.894,3140101,"ST. ANDREW-ST. JOSEPH BAYS","Y",NA,NA,2018-03-06,NA,NA,"WGS84","Z1CA1802",52810,300905.619,853524.972,10700,NA,NA
"64","Z1-CA-12064","FLGW18001-0064",NA,NA,NA,"ZONE 1 - CONFINED",0.00294324747,3.1182e-11,339.760760906181,NA,"CONFINED AQUIFER","ZONE 1",302354.878,840142.213,3120001,"APALACHEE BAY-ST. MARKS","N","NO PERMISSION FROM OWNER","ACCESS DENIED BY PROPERTY/WELL OWNER",NA,NA,NA,"NAD83","Z1CA1802",39795,302354.878,840142.213,3956,NA,NA
